Profile name,Title,Date,Location,Description,ImageURL
Count's Vamp'd Rock Bar & Grill,JANET GARDNER @ COUNT'S VAMP'D,"Fri, Jan 12, 2018 8:00 pm","Count's Vamp'd 6750 W Sahara Ave Las Vegas, NV 89146",Janet Gardner & Justin James,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/97889011/11098879_0_detail@2x.jpg
Encore,John Fogerty Performs Songs from Creedence Clearwater Revival,"Fri, Jan 12, 2018 8:00 pm - 11:00 pm","Encore at Wynn Las Vegas 3131 S Las Vegas Blvd Las Vegas, NV 89109","Celebrating American rock with what will inevitably prove to be an unforgettable engagement, John Fogerty performs his songs from Creedence Clearwater Revival in the intimate Encore Theater. The music legend and member of the Rock and Roll Hall of Fame will return to Wynn from September 20 through October 7, and again from January 10 through 20. With a remarkable career spanning more than 50 years, Fogerty will take fans on an electrifying journey through his CCR classics and the solo hits that solidified his status as one of the most influential musicians in history and whose music became the soundtrack of a generation. Buy tickets online or call show reservations at (702) 770-9966.",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/38030211/11203083_0_detail@2x.jpg
New scrape needed,Kissed Alive: A Tribute to KISS at Brooklyn Bowl Las Vegas,"Fri, Jan 12, 2018 8:00 pm - 11:59 pm","Las Vegas Private location - TBA Las Vegas, NV 89109",Kissed Alive: A Tribute to KISS at Brooklyn Bowl Las Vegas,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/35527711/11772553_0_detail@2x.jpg
TGI Fridays,Lyfe Jennings,"Fri, Jan 12, 2018 8:00 pm","TGI Fridays 5111 Boulder Hwy Las Vegas, NV 89122","Lyfe Jennings is a singer and songwriter, crafting emotional ballads with a unique sound that blurs the lines between R&B and folk music. The platinum-selling recording artist is also a multi-instrumentalist who plays guitar, bass, and piano. Critics have called Jennings a throwback to the R&B singers of the 1960's, including such legendary artist as Sam Cooke and Al Green, while his use of hip-hop beats and collaborations with rappers connects his music to contemporary developments in R&B. Some critics have even credited Jennings as a pioneer of a new genre; one that National Public Radio (NPR) host Corey Moore called ""Folk Soul"".Sale Dates and Times:Public Onsale : Fri, 3 Nov 2017 at 05:00 PM",http://assets.eviesays.com/img/stock/event/Music/music02_detail@2x.jpg
hardrockhotellv,Magic Mike Live,"Fri, Jan 12, 2018 8:00 pm","The Joint at The Hard Rock Hotel & Casino 4455 Paradise Rd las vegas, nv 89169","Sale Dates and Times:Public Onsale : Tue, 6 Sep 2016 at 06:00 AMPresale Offer : Wed, 31 Aug 2016 at 09:00 PM",http://assets.eviesays.com/img/stock/event/Performing_Arts/performing_arts01_detail@2x.jpg
Millennium Fandom Bar,Open Cosplay Party round 4!,"Fri, Jan 12, 2018 8:00 pm - 2:00 am","Millennium Fandom Bar - Las Vegas 900 S Las Vegas Blvd, Ste 140 Las Vegas, NV 89101","FRIDAY 12th: The Millennium Fandom Bar - Las Vegas is inviting you to its ‘Open Cosplay Party round 4!’ Come as any character or in any costume you feel like, then mingle with the amazing cosplay community to your heart's content. And for those looking to get into cosplay, this will be a great opportunity to get some ideas and tips for your future projects! 8pm. 21+Only. No cover. 'Cosplay or not, let's Fandom!!' #MFBLV #Fandom #Cosplay #DTLV #LasVegas #MyFavoriteCosplay #OpenCosplayNight",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/72662711/11726627_0_detail@2x.jpg
Golden Nugget Hotel & Casino,Rick Derringer,"Fri, Jan 12, 2018 8:00 pm","Golden Nugget Hotel & Casino 129 Fremont Street Experience, Las Vegas, NV 89101 Las Vegas, NV 89101","American rocker Rick Derringer was just 17 when his band The McCoys recorded the No.1 hit Hang On Sloopy in the summer of 1965, knocking Yesterday by The Beatles out of the top spot. Derringer later played and recorded with Johnny and Edgar Winters bands and Steely Dan, though he is probably best known for his 1974 solo hit Rock N Roll Hoochie Koo. After more than four decades, hes still going strong!Sale Dates and Times:Public Onsale : Fri, 6 Oct 2017 at 10:00 AMExclusive Internet Presale : Mon, 2 Oct 2017 at 10:00 AM",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/84626411/11462648_0_detail@2x.jpg
Beauty Bar LV,"White Wizzard, Novareign","Fri, Jan 12, 2018 8:00 pm - 11:00 pm","The Ogden Las Vegas 150 Las Vegas Blvd. North Las Vegas, NV 89101",Friday January 12th:White Wizzardwith special guestsNovareignBeauty Bar Las Vegas517 Fremont St Las Vegas NV 891018PM $10 advance $15 day of show 21+Tickets: https://www.ticketbat.com/event/white-wizzard,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/16859011/11095861_0_detail@2x.jpg
Marquee,Willie Nelson & Family Live at The Chelsea,"Fri, Jan 12, 2018 8:00 pm","Marquee Nightclub & Dayclub 3708 South Las Vegas BoulevardThe Cosmopolitan Las Vegas, NV 89109","All Ages Event Doors 7:00pm / Show 8:00pm No refunds or exchanges. Live Entertainment Tax is included in the purchase of each ticket. Non-professional cameras allowed, no detachable lenses. Audio/video recorders, tablets/ipads, and selfie sticks are not allowed. Guests accept all customary risks associated with live events. No outside Food and Beverage allowed into the venue. Due to security requirements, backpacks, wallet chains, spiked accessories, and bags/purses larger than 8.5"" x 11"" will not be allowed in the venue. Guest and bags/purchases are subject to inspection.Sale Dates and Times:Public Onsale : Fri, 29 Sep 2017 at 10:00 AMIdentity Membership Presale : Thu, 28 Sep 2017 at 12:00 PMFan Club Presale & VIP Package : Wed, 27 Sep 2017 at 10:00 AMFan Club Bundle : Wed, 27 Sep 2017 at 12:00 PMVIP Package Onsale : Wed, 27 Sep 2017 at 10:00 AMTicketmaster Presale : Thu, 28 Sep 2017 at 12:00 PM",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/55514911/11941555_0_detail@2x.jpg
The Phoenix Bar & Lounge,Open Bar - 4th Anniversary Party,"Fri, Jan 12, 2018 9:00 pm - 10:00 pm","The Phoenix Bar & Lounge 4213 W Sahara Ave Las Vegas, NV 89102",Free Open Bar on all well liquor and draft beer from 9pm - 10pm this Friday during our 4th Anniversary Party!,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/21773911/11937712_0_detail@2x.jpg
Thunderbird Lounge and Bar,She's a savage,"Fri, Jan 12, 2018 9:00 pm - 11:30 pm","Thunderbird Lounge and Bar 1215 South Las Vegas Boulevard Las Vegas, NV 89104","She's A Savage""- #Adult #Female #Showcase hosted by Sookie featuring Mayhem, Kismet, Shon Denay and Neon Carter will be Blessing the Stage!! We Got #Comedy #Music #Poetry and #Burlesque in the Building So You Won't Want To Miss This One #LadiesNight #DrinkSpecials #FridayNight #AllFemale #GirlPower #GoodFood #PrettyLadies #Savage #Life @kismetkrystle @annamae33 @shondenay @thebadbarbetta @mayhem_tiu @ladyneon85 Thunderbird Hotel and Lounge",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/38064911/11946083_0_detail@2x.jpg
Legends Sports Bar & Grill,Sticks & Strings,"Fri, Jan 12, 2018 9:00 pm - 1:00 am","Legends Sports Bar & Grill 5866 Boulder Highway Las Vegas, NV 89122",Come join us @ 9pm for some Classic Rock & Country/Rock & RollNO COVERDrink & Food Specials,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/33121911/11912133_0_detail@2x.jpg
Gold Mine Tavern ,Stone Velvet Pilots,"Fri, Jan 12, 2018 9:00 pm - 11:59 pm","Gold Mine Tavern 23 S Water St Henderson, NV 89015",What do you get when you mix Stone Temple Pilots with some Velvet Revolver?  Yep!  You got it.  Stone Velvet Pilots!  And we'll have 'em here this Friday night!  Let's do this... Cheers!,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/46985911/11958964_0_detail@2x.jpg
Gold Mine Tavern ,Stone Velvet Pilots Rock GMT with special guests Black Acre,"Fri, Jan 12, 2018 9:00 pm - 12:00 am","Gold Mine Tavern 23 S Water St Henderson, NV 89015",Stone Velvet Pilots will be back to rock the Gold Mine Tavern with their tribute to Stone Temple Pilots and Velvet Revolver on January 12 and are they bringing along special guests Black Acre!  Come on out to the Vegas Valley's best kept secret for Rock for an evening of cold brew and great music!  No Cover-  21+,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/16985911/11958961_0_detail@2x.jpg
Priscilla Fowler Fine Art Gallery,Celestial Abstractions: Paintings by Benjamin Schmitt,"Fri, Jan 12, 2018","Priscilla Fowler Fine Art Gallery/Studio 1025 S. First StSuite 155 Las Vegas, NV 89101","Priscilla Fowler Fine Art Gallery and Studio Presents Celestial Abstractions: Paintings by Benjamin SchmittThe beautiful, the distorted, the deep layers of life. Benjamin Schmitt has a unique way of showing us nature’s rhythms that lie beneath the surface. This takes us on an emotional journey of the abstract and organized chaos that, when combined, is timeless and relevant. This is accomplished through mapping the intelligence of the human experience focusing on the dichotomy between the seen and unseen. Come experience these colorful abstractions in person. Celestial Abstraction: Paintings will be displayed through January 27, 2018. Meet Benjamin Schmitt on Preview Thursday, November 30, from 5-9 p.m.and First Friday, December 1, from 5-11 p.m. Priscilla Fowler Fine Art Gallery is conveniently located at 1025 S. 1st Street in the downtown Las Vegas Arts District and is open Wednesday-Saturday, 12-9 p.m., or by appointment.",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/65553901/10935556_0_detail@2x.jpg
New scrape needed,Downtown Summerlin Holiday Train Rides,"Fri, Jan 12, 2018 4:00 pm - 10:00 pm","Downtown Summerlin 1980 Festival Plaza Dr Las Vegas, NV 89135",Rides are $4.00 per child. Adults are required to purchase tickets and ride with their kids. Tickets are purchased at the train directly on The Lawn.,http://s3-us-west-2.amazonaws.com/images.eviesays.com/venue/9481346/6431849_0_detail@2x.jpg
New scrape needed,Rock Rink in Downtown Summerlin,"Fri, Jan 12, 2018 4:00 pm - 10:00 pm","Downtown Summerlin 1980 Festival Plaza Dr Las Vegas, NV 89135","Rock Rink, the premier ice skating rink located near the Pavilion on The Lawn. Highlights include skating under the stars set to the backdrop of joyful holiday music and an impressive 40-foot holiday tree overlooking the rink.  Skate rentals start at $15, and all ages are welcome.  Coffee Bean & Tea Leaf will offer signature holiday beverages via a mobile coffee truck rink-side",http://s3-us-west-2.amazonaws.com/images.eviesays.com/venue/9481346/6431849_0_detail@2x.jpg
New scrape needed,Bird Road Podcast LIVE,"Fri, Jan 12, 2018 7:00 pm - 11:00 pm","ReBAR 1225 S Main St Las Vegas, NV 89104","Bird Road Podcast Presents the Bird Road Cavalcade of Stars!Progressive Politics, Presented Pleasantly.This will be the first ever LIVE episode of our Bird Road Podcast featuring your hosts, David Michael Quinones (Q) & David Rosen (Jewish Dave), as well as growing list of guests that currently includes:- Gubernatorial Candidate and Rights Society Co-Founder Kyle Chamberlain- Comedian Jason Harris- Thee Swank Bastards- Dead Money- Joseph S. MascolinoAND MORE!There will be jokes, jams and you might even learn something. Or you'll just drink a lot of beer and have a great time at ReBAR, because ReBAR rules. Plus when's the last time you hung out with Q & Jewish Dave? I mean, really!If you haven't already, listen, rate and review Bird Road Podcast on iTunes, Google Play or anywhere you listen to podcasts! Check out our website at http://www.birdroadpodcast.com/ for all the links you need.21+, FREE",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/67696611/11669676_0_detail@2x.jpg
New scrape needed,Holiday Blessings-Sacred Native American Pipe Ceremony,"Fri, Jan 12, 2018 7:00 pm - 8:30 pm","Enchanted Forest Reiki Center, Spiritual Items 'n More 2280 S Jones Blvd Las Vegas, NV 89146","7:00p.m. Tobacco And/or Love DonationThis is an authentic ritual Pipe Ceremony and healing circle.We encourage you to bring your children, family and friends to this special family event.A ceremony where kids can be themselves. Crying is allowed.This is an ideal time to bring items such as crystals, necklaces, drums, rattles to be cleansed, energized, and blessed.For those requesting for a more personal healing, blessing, or guidance, it is traditional for the Shaman to be given tobacco as a gift for their sacrifice and offering. Pipe tobacco is perfect.The ceremony will involve storytelling, a talking circle, drumming, meditation, and chanting of sacred songs and songs from the heart.Ladies cannot be on their ""power time"", but are welcome to attend another ceremony. If you are not aware what is considered to be ""power time"" in Native American tradition please contact Debbie through Enchanted Forest at 702-948-4999 for clarification. ( If possible, bring 4 colored ribbons of your choice, length from heart to the end of your fingertip.)This is a spiritual circle, we invite your loving universal energies into the space whether you are a healer of another energy modality or are someone whom is completely unfamiliar with Shaman ceremony or spiriual healing. All are welcome.",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/77288901/10988277_0_detail@2x.jpg
Saddle N Spurs,The Bobby Kingston Band special Guest Cole Reeves Live & DJ Kaz,"Fri, Jan 12, 2018 7:00 pm - 2:00 am","Saddles & Spurs 2333 N Jones Blvd Las Vegas, NV 89108","The Bobby Kingston Band performs Classic Country Honky Tonk Dance Music Live EVERY Friday and Saturday with DJ Kaz on the Band Breaks and closing out the night at Saddle N Spurs Saloon.  If you want the real deal performed by seasoned professionals check it out. Waylon, Willie, Hank, Cash, Jones, Haggard, and...well you get the idea.  The popular DJ Kaz will be spinning all your favorite line dance and modern country hits on the band breaks.Bobby Kingston Band Live 7pm-12amTeddy & Brenda's Dance Lesson Music 8-830pmDJ Kaz on band breaks & closes out show 9:30pm-2amCome and party with us at Las Vegas' LAST Remaining REAL Honky Tonk Bar! Hope to see you there!Saddle N Spurs SaloonEat - Drink - Gamble - Enjoy2333 N Jones Blvd(SE corner at Smoke Ranch)Las Vegas, NV 89108(702) 646-6292www.sns.vegaswww.bobbykingston.comLike the band on Facebook:http://www.facebook.com/bobbykingstonLike the SNS Saloon on Facebook:http://www.facebook.com/saddlenspurs",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/89995911/11959998_0_detail@2x.jpg
Backstage Bar & Billiards,All Hail The Yeti at Backstage Bar & Billiards,"Fri, Jan 12, 2018 8:00 pm","Backstage Bar & Billiards 601 Fremont Street Las Vegas, NV 89101",All Hail The Yeti at Backstage Bar & Billiards with .bipolar. and more. https://www.facebook.com/officialallhailtheyeti/https://www.facebook.com/bipolarmetal,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/57258311/11385275_0_detail@2x.jpg
Encore,John Fogerty Performs Songs from Creedence Clearwater Revival,"Fri, Jan 12, 2018 8:00 pm - 11:00 pm","Encore at Wynn Las Vegas 3131 S Las Vegas Blvd Las Vegas, NV 89109","Celebrating American rock with what will inevitably prove to be an unforgettable engagement, John Fogerty performs his songs from Creedence Clearwater Revival in the intimate Encore Theater. The music legend and member of the Rock and Roll Hall of Fame will return to Wynn from September 20 through October 7, and again from January 10 through 20. With a remarkable career spanning more than 50 years, Fogerty will take fans on an electrifying journey through his CCR classics and the solo hits that solidified his status as one of the most influential musicians in history and whose music became the soundtrack of a generation. Buy tickets online or call show reservations at (702) 770-9966.",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/38030211/11203083_0_detail@2x.jpg
New scrape needed,Kissed Alive: A Tribute to KISS at Brooklyn Bowl Las Vegas,"Fri, Jan 12, 2018 8:00 pm - 11:59 pm","Las Vegas Private location - TBA Las Vegas, NV 89109",Kissed Alive: A Tribute to KISS at Brooklyn Bowl Las Vegas,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/35527711/11772553_0_detail@2x.jpg
Hardrockhotellv,Magic Mike Live,"Fri, Jan 12, 2018 8:00 pm","The Joint at The Hard Rock Hotel & Casino 4455 Paradise Rd las vegas, nv 89169","Sale Dates and Times:Public Onsale : Tue, 6 Sep 2016 at 06:00 AMPresale Offer : Wed, 31 Aug 2016 at 09:00 PM",http://assets.eviesays.com/img/stock/event/Performing_Arts/performing_arts01_detail@2x.jpg
Millennium Fandom Bar,Open Cosplay Party round 4!,"Fri, Jan 12, 2018 8:00 pm - 2:00 am","Millennium Fandom Bar - Las Vegas 900 S Las Vegas Blvd, Ste 140 Las Vegas, NV 89101","FRIDAY 12th: The Millennium Fandom Bar - Las Vegas is inviting you to its ‘Open Cosplay Party round 4!’ Come as any character or in any costume you feel like, then mingle with the amazing cosplay community to your heart's content. And for those looking to get into cosplay, this will be a great opportunity to get some ideas and tips for your future projects! 8pm. 21+Only. No cover. 'Cosplay or not, let's Fandom!!' #MFBLV #Fandom #Cosplay #DTLV #LasVegas #MyFavoriteCosplay #OpenCosplayNight",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/72662711/11726627_0_detail@2x.jpg
Beauty Bar LV,"White Wizzard, Novareign","Fri, Jan 12, 2018 8:00 pm - 11:00 pm","The Ogden Las Vegas 150 Las Vegas Blvd. North Las Vegas, NV 89101",Friday January 12th:White Wizzardwith special guestsNovareignBeauty Bar Las Vegas517 Fremont St Las Vegas NV 891018PM $10 advance $15 day of show 21+Tickets: https://www.ticketbat.com/event/white-wizzard,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/16859011/11095861_0_detail@2x.jpg
Marquee,Willie Nelson & Family Live at The Chelsea,"Fri, Jan 12, 2018 8:00 pm","Marquee Nightclub & Dayclub 3708 South Las Vegas BoulevardThe Cosmopolitan Las Vegas, NV 89109","All Ages Event Doors 7:00pm / Show 8:00pm No refunds or exchanges. Live Entertainment Tax is included in the purchase of each ticket. Non-professional cameras allowed, no detachable lenses. Audio/video recorders, tablets/ipads, and selfie sticks are not allowed. Guests accept all customary risks associated with live events. No outside Food and Beverage allowed into the venue. Due to security requirements, backpacks, wallet chains, spiked accessories, and bags/purses larger than 8.5"" x 11"" will not be allowed in the venue. Guest and bags/purchases are subject to inspection.Sale Dates and Times:Public Onsale : Fri, 29 Sep 2017 at 10:00 AMIdentity Membership Presale : Thu, 28 Sep 2017 at 12:00 PMFan Club Presale & VIP Package : Wed, 27 Sep 2017 at 10:00 AMFan Club Bundle : Wed, 27 Sep 2017 at 12:00 PMVIP Package Onsale : Wed, 27 Sep 2017 at 10:00 AMTicketmaster Presale : Thu, 28 Sep 2017 at 12:00 PM",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/55514911/11941555_0_detail@2x.jpg
Baobab Stage Theatre,Burlesque At The Baobab,"Fri, Jan 12, 2018 9:00 pm - 10:30 pm","Baobab Stage Theatre 6587 South Las Vegas Boulevard Las Vegas, NV 89119",Burlesque at the Baobab  Jan 12th at 9pm,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/83678811/11887638_0_detail@2x.jpg
The Dive Bar LV,"Demun Jones, Donnie Menace, NE LAST WORDS, JoJo Blast","Fri, Jan 12, 2018 9:00 pm - 1:00 am","The Dive Bar 4110 South Maryland Parkway Las Vegas, NV 89119",$ 8.00 - $10.00 / Age 21 And UpTickets:http://www.ticketweb.com/event/demun-jones-donnie-menace-ne-eliphino-dive-and-dine-tickets/7946645?REFERRAL_ID=twfb,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/13850911/11905831_0_detail@2x.jpg
The Phoenix Bar & Lounge,Half Off All Food - 4th Anniversary Party,"Fri, Jan 12, 2018 9:00 pm - 12:00 am","The Phoenix Bar & Lounge 4213 W Sahara Ave Las Vegas, NV 89102","Half off all food at the Phoenix Bar & Lounge on Friday, Jan 12th from 9pm - 12am for our 4th Anniversary Party!",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/41773911/11937714_0_detail@2x.jpg
The Phoenix Bar & Lounge,Open Bar - 4th Anniversary Party,"Fri, Jan 12, 2018 9:00 pm - 10:00 pm","The Phoenix Bar & Lounge 4213 W Sahara Ave Las Vegas, NV 89102",Free Open Bar on all well liquor and draft beer from 9pm - 10pm this Friday during our 4th Anniversary Party!,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/21773911/11937712_0_detail@2x.jpg
